# time (hhmmss),heat->kettle,kettle->air,kettle->boil,condenser->air,alc->condenser,alc->output,H2O->condenser,H2O output
000312,3000.000000,760.561829,0.000000,204.185150,72151.437500,19290.425781,31087.275391,10119.307617
000313,3000.000000,763.985840,0.000000,205.104385,72151.437500,19290.425781,31087.275391,10119.307617
000314,3000.000000,767.404419,0.000000,206.022171,72151.437500,19290.425781,31087.275391,10119.307617
000315,3000.000000,770.817871,0.000000,206.938553,72151.437500,19290.425781,31087.275391,10119.307617
000316,3000.000000,774.226196,0.000000,207.853577,75231.976562,20114.039062,32457.761719,10565.418945
000317,3000.000000,777.629333,0.000000,208.767212,75231.976562,20114.039062,32457.761719,10565.418945
000318,3000.000000,781.027100,0.000000,209.679382,75231.976562,20114.039062,32457.761719,10565.418945
000319,3000.000000,784.419678,0.000000,210.590195,75231.976562,20114.039062,32457.761719,10565.418945
000320,3000.000000,787.806885,0.000000,211.499527,75231.976562,20114.039062,32457.761719,10565.418945
000321,3000.000000,791.189209,0.000000,212.407578,78422.343750,20967.015625,33879.066406,11028.072266
000322,3000.000000,794.566101,0.000000,213.314148,78422.343750,20967.015625,33879.066406,11028.072266
000323,3000.000000,797.937866,0.000000,214.219360,78422.343750,20967.015625,33879.066406,11028.072266
000324,3000.000000,801.304443,0.000000,215.123184,78422.343750,20967.015625,33879.066406,11028.072266
000325,3000.000000,804.665955,0.000000,216.025620,78422.343750,20967.015625,33879.066406,11028.072266
000326,3000.000000,808.022278,0.000000,216.926682,81725.609375,21850.177734,35352.726562,11507.767578
000327,3000.000000,811.373474,0.000000,217.826370,81725.609375,21850.177734,35352.726562,11507.767578
000328,3000.000000,814.719543,0.000000,218.724670,81725.609375,21850.177734,35352.726562,11507.767578
000329,3000.000000,818.060486,0.000000,219.621597,81725.609375,21850.177734,35352.726562,11507.767578
000330,3000.000000,821.396240,0.000000,220.517136,81725.609375,21850.177734,35352.726562,11507.767578
000331,3000.000000,824.726868,0.000000,221.411301,85144.914062,22764.363281,36880.285156,12005.007812
000332,3000.000000,828.052368,0.000000,222.304092,85144.914062,22764.363281,36880.285156,12005.007812
000333,3000.000000,831.372742,0.000000,223.195496,85144.914062,22764.363281,36880.285156,12005.007812
000334,3000.000000,834.688232,0.000000,224.085602,85144.914062,22764.363281,36880.285156,12005.007812
